name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender,wikidata,wikidata_group,wikidata_area
Steve Daines,"Daines, Steve",,SteveDaines,SteveDainesMT,Republican,republican,ocd-division/country:us/state:mt,Montana,Senate,116,,,https://theunitedstates.io/images/congress/original/D000618.jpg,male,Q3200900,Q29468,Q1212
Susan M. Collins,"Collins, Susan",,SenatorCollins,susancollins,Republican,republican,ocd-division/country:us/state:me,Maine,Senate,116,,,https://theunitedstates.io/images/congress/original/C001035.jpg,female,Q22279,Q29468,Q724
Tammy Baldwin,"Baldwin, Tammy",,SenatorBaldwin,senatortammybaldwin,Democrat,democrat,ocd-division/country:us/state:wi,Wisconsin,Senate,116,,,https://theunitedstates.io/images/congress/original/B001230.jpg,female,Q40628,Q29552,Q1537
Tammy Duckworth,"Duckworth, Tammy",,SenDuckworth,SenDuckworth,Democrat,democrat,ocd-division/country:us/state:il,Illinois,Senate,116,,,https://theunitedstates.io/images/congress/original/D000622.jpg,female,Q3036410,Q29552,Q1204
Ted Cruz,"Cruz, Ted",,SenTedCruz,SenatorTedCruz,Republican,republican,ocd-division/country:us/state:tx,Texas,Senate,116,,,https://theunitedstates.io/images/congress/original/C001098.jpg,male,Q2036942,Q29468,Q1439
Thom Tillis,"Tillis, Thom",,senthomtillis,SenatorThomTillis,Republican,republican,ocd-division/country:us/state:nc,North Carolina,Senate,116,,,https://theunitedstates.io/images/congress/original/T000476.jpg,male,Q7786750,Q29468,Q1454
Thomas R. Carper,"Carper, Thomas",,SenatorCarper,tomcarper,Democrat,democrat,ocd-division/country:us/state:de,Delaware,Senate,116,,,https://theunitedstates.io/images/congress/original/C000174.jpg,male,Q457432,Q29552,Q1393
Tim Kaine,"Kaine, Timothy",,timkaine,SenatorKaine,Democrat,democrat,ocd-division/country:us/state:va,Virginia,Senate,116,,,https://theunitedstates.io/images/congress/original/K000384.jpg,male,Q359888,Q29552,Q1370
Tim Scott,"Scott, Tim",,SenatorTimScott,SenatorTimScott,Republican,republican,ocd-division/country:us/state:sc,South Carolina,Senate,116,,,https://theunitedstates.io/images/congress/original/S001184.jpg,male,Q561315,Q29468,Q1456
Tina Smith,"Smith, Tina",,SenTinaSmith,USSenTinaSmith,Democrat,democrat,ocd-division/country:us/state:mn,Minnesota,Senate,116,,,https://theunitedstates.io/images/congress/original/S001203.jpg,female,Q18631509,Q29552,Q1527
Todd Young,"Young, Todd",,SenToddYoung,SenatorToddYoung,Republican,republican,ocd-division/country:us/state:in,Indiana,Senate,116,,,https://theunitedstates.io/images/congress/original/Y000064.jpg,male,Q25483,Q29468,Q1415
Tom Cotton,"Cotton, Tom",,SenTomCotton,SenatorTomCotton,Republican,republican,ocd-division/country:us/state:ar,Arkansas,Senate,116,,,https://theunitedstates.io/images/congress/original/C001095.jpg,male,Q3090307,Q29468,Q1612
Tom Udall,"Udall, Tom",,SenatorTomUdall,senatortomudall,Democrat,democrat,ocd-division/country:us/state:nm,New Mexico,Senate,116,,,https://theunitedstates.io/images/congress/original/U000039.jpg,male,Q957690,Q29552,Q1522
